num,address,city,type,size,sf_avail,rent
427,660 Price Ave,Redwood City,Office,"7,800 SF","1,752 - 5,066",$35.40 SF/Year
428,320-350 Primrose Rd,Burlingame,Office,"66,164 SF","925 - 4,925",$47.40 - 59.40 SF/Year
429,616 Ramona St,Palo Alto,Office,"7,546 SF",268 - 537,$96.00 SF/Year
430,Remington Health Center 500 E Remington Dr,Sunnyvale,Office,"36,440 SF",828,$49.80 SF/Year
431,525 W Remington Dr,Sunnyvale,Office,"10,001 SF",681,$36.00 SF/Year
432,51 Renato Ct,Redwood City,Office,"5,166 SF","620 - 3,151",$42.00 - 56.40 SF/Year
433,1001 N Rengstorff Ave,Mountain View,Office,"12,853 SF","6,909",$47.40 SF/Year
434,1550 Rollins Rd,Burlingame,Warehouse,"12,500 SF","1,098 - 6,785",$30.00 SF/Year
435,St. Francis Shopping Cent… 11-63 Saint Francis Sq,Daly City,Retail,"59,000 SF","854 - 24,620",$51.00 SF/Year
436,554 San Antonio Rd,Mountain View,Office,"12,386 SF","6,193",$30.00 SF/Year
437,885 N San Antonio Rd,Los Altos,Office,"10,000 SF","336 - 1,008",$50.04 - 53.57 SF/Year
438,900 N San Antonio Rd,Los Altos,Office,"7,904 SF",950,$57.00 SF/Year
439,Hacienda Gardens 1395 San Carlos Ave,San Carlos,Office,"6,000 SF",150,$80.40 SF/Year
440,215 N San Mateo Dr,San Mateo,Office,"5,793 SF","715 - 3,176",$34.80 - 36.00 SF/Year
441,Shanghai Commercial Ba… 231 Sansome St,San Francisco,Office,"19,600 SF","2,850 - 5,700",$35.00 SF/Year
442,407-411 Sansome St,San Francisco,Office,"17,854 SF","3,000 - 13,451",$24.00 - 36.00 SF/Year
443,755 Sansome St,San Francisco,Office,"70,000 SF","4,241 - 17,975",$30.00 - 45.00 SF/Year
444,847 Sansome St,San Francisco,Office,"20,784 SF","3,650 - 8,239",$29.00 - 48.00 SF/Year
445,900 Sansome St,San Francisco,Specialty,"28,863 SF","5,100 - 27,700",Withheld
446,622 Santa Cruz Ave,Menlo Park,Retail,"6,000 SF","3,000",$60.00 SF/Year
447,Feve Building 711-713 Santa Cruz Ave,Menlo Park,Retail,"9,600 SF",776,$54.00 SF/Year
448,Duca & Hanley Building 725-729 Santa Cruz Ave,Menlo Park,Retail,"10,030 SF","244 - 3,281",$66.00 SF/Year
449,Portside Phase II 400 Seaport Ct,Redwood City,Office,"36,890 SF","3,163 - 37,578",$39.00 - 42.00 SF/Year
450,ChesHill on Mission 33 Seneca Ave,San Francisco,Apartments,61 Units,"1,047",$42.00 SF/Year
451,409 Sherman Ave,Palo Alto,Office,"11,874 SF","3,958 - 7,916",$59.40 SF/Year
452,Bldg A 883 N Shoreline Blvd,Mountain View,Office,"7,694 SF","2,522",$39.00 SF/Year
453,2000 Sierra Point Pky,Brisbane,Office,"237,810 SF","1,377 - 108,833",$18.00 SF/Year
454,881-883 Sneath Ln,San Bruno,Office,"27,924 SF","585 - 6,946",$30.00 SF/Year
455,901-903 Sneath Ln,San Bruno,Office,"40,830 SF","387 - 3,700",$34.20 SF/Year
456,Richard Creek Medical Ce… 525 South Dr,Mountain View,Office,"20,112 SF","1,097 - 7,924",$51.00 SF/Year
457,500 Spruce St,San Francisco,Retail,"8,300 SF",610,$48.00 SF/Year
458,220 S Spruce Ave,South San Francisco,Office,"20,000 SF","1,668 - 3,828",$27.00 SF/Year
459,161 S Spruce St,South San Francisco,Office,"9,950 SF","4,555",$33.00 SF/Year
460,836-852 Stanton Rd,Burlingame,Warehouse,"20,092 SF","4,952 - 13,119",$18.60 SF/Year
461,Stevenson Place 71 Stevenson St,San Francisco,Office,"331,512 SF","10 - 167,961",$44.00 - 57.00 SF/Year
462,Dante Bldg 1600-1612 Stockton,San Francisco,Office,"18,000 SF",500,$60.00 SF/Year
463,260 S Sunnyvale Ave,Sunnyvale,Office,"11,000 SF","3,030",$35.40 SF/Year
464,212 Sutter St,San Francisco,Office,"13,400 SF","650 - 4,650",$30.00 SF/Year
465,246-250 Sutter St,San Francisco,Office,"55,359 SF","3,198 - 20,485",$45.00 SF/Year
466,312 Sutter St,San Francisco,Office,"33,824 SF","205 - 21,436",$28.00 SF/Year
467,315 Sutter St,San Francisco,Office,"8,750 SF","1,100 - 2,450",$33.36 - 81.84 SF/Year
468,Philippine Center 445-447 Sutter St,San Francisco,Office,"81,123 SF","195 - 16,211",$36.00 SF/Year
469,535-545 Sutter St,San Francisco,Retail,"22,121 SF","750 - 6,240",$29.00 SF/Year
470,547-555 Sutter St,San Francisco,Office,"25,158 SF","595 - 10,821",$29.00 SF/Year
471,559-567 Sutter St,San Francisco,Office,"26,414 SF","2,952 - 20,850",$12.00 - 19.00 SF/Year
472,575 Sutter St,San Francisco,Office,"30,900 SF","1,625 - 5,180",$21.00 SF/Year
473,679 Sutter St,San Francisco,Office,"15,139 SF","3,743 - 7,486",$33.00 SF/Year
474,1388 Sutter St,San Francisco,Office,"216,909 SF","300 - 24,671",$28.00 - 36.00 SF/Year
475,1927-1929 Taraval St,San Francisco,Apartments,4 Units,"2,000",$29.76 SF/Year
476,2143-2145 Taraval St,San Francisco,Retail,"2,100 SF","2,100",$39.00 SF/Year
477,Savoy Bldg 2720 Taylor St,San Francisco,Office,"59,600 SF","415 - 42,468",$25.00 SF/Year
478,Townsend Bldg 123 Townsend St,San Francisco,Office,"136,950 SF","5,925 - 67,643",$33.00 SF/Year
479,148 Townsend St,San Francisco,Office,"57,402 SF","1,000 - 28,072",$12.00 - 28.00 SF/Year
480,164 Townsend St,San Francisco,Office,"29,025 SF","2,410",$55.00 SF/Year
481,350 Townsend St,San Francisco,Office,"68,048 SF","230 - 7,396",$30.00 - 33.00 SF/Year
482,Parkview Terrace Senior C… 871 Turk St,San Francisco,Apartments,101 Units,"1,067",$30.00 SF/Year
483,Provident Bldg 303 Twin Dolphin Dr,Redwood City,Office,"194,691 SF","10 - 55,109",$48.00 SF/Year
484,555 Twin Dolphin 555 Twin Dolphin Dr,Redwood City,Office,"200,851 SF","4,631 - 60,255",$69.00 SF/Year
485,524 Union St,San Francisco,Retail,"11,260 SF","300 - 9,505",$45.84 SF/Year
486,1626-1630 Union St,San Francisco,Office,"8,556 SF","1,000 - 2,139",$36.00 SF/Year
487,101 University Ave,Palo Alto,Office,"42,180 SF",606,$90.00 SF/Year
488,102 University Ave,Palo Alto,Office,"15,077 SF","4,095 - 9,672 $150.00",SF/Year
489,1220-1244 University Dr,Menlo Park,Office,"10,000 SF",371,$66.00 SF/Year
490,499 University St,Palo Alto,Office,"36,537 SF","937 - 2,151",$48.00 SF/Year
491,767-777 Valencia St,San Francisco,Office,"3,060 SF","1,000",$60.00 SF/Year
492,Pacific Vision 711 Van Ness Ave,San Francisco,Office,"141,369 SF","1,063 - 90,291",$42.00 SF/Year
493,Medical Arts Bldg 2000 Van Ness Ave,San Francisco,Office,"46,183 SF","275 - 9,019",$42.00 SF/Year
494,2001 Van Ness Ave,San Francisco,Office,"40,000 SF","598 - 3,031",$50.00 SF/Year
495,430 S Van Ness Ave,San Francisco,Retail,"10,130 SF","3,000",$40.00 SF/Year
496,850 S Van Ness Ave,San Francisco,Office,"11,064 SF",85 - 539,$63.00 - 63.72 SF/Year
497,633 Veterans Blvd,Redwood City,Flex,"15,000 SF","1,885",$30.00 SF/Year
498,124-132 Waverly Pl,San Francisco,Apartments,30 Units,"600 - 1,450",$41.40 SF/Year
499,435 N Whisman Rd,Mountain View,Office,"7,744 SF","7,744",$51.00 SF/Year
500,1021 S Wolfe Rd,Sunnyvale,Office,"18,700 SF","450 - 5,950",$35.40 - 39.00 SF/Year
501,2145 Keith St,San Francisco,Office,"2,400 SF","2,400",$22.00 SF/Year
502,52-54 2nd St,San Francisco,Office,"7,042 SF","1,300",Withheld
503,85 2nd St,San Francisco,Office,"124,245 SF","16,111 - 49,114",Withheld
504,The Pelton Building 132-142 2nd St,San Francisco,Office,"38,766 SF","6,004",Withheld
505,400 2nd St,San Francisco,Office,"500,000 SF 14,935","- 449,995",Withheld
506,599 2nd St 577 2nd St,San Francisco,Office,"30,480 SF","5,000",Withheld
507,30 3rd St,San Francisco,Office,"53,016 SF","1,471 - 56,224",Withheld
508,625 3rd St,San Francisco,Office,"42,429 SF","618 - 11,550",Withheld
509,660 3rd St,San Francisco,Office,"88,000 SF","15,000 - 20,467",Withheld
510,300 4th St,San Francisco,Office,"18,000 SF","3,600 - 7,200",Withheld
511,The Technical Instrumen… 344-348 6th St,San Francisco,Office,"17,400 SF","3,900 - 17,400",Withheld
512,255 9th St,San Francisco,Office,"15,000 SF","1,500 - 15,000",Withheld
513,455-457 9th St,San Francisco,Office,"14,475 SF","1,657 - 14,475",Withheld
514,Onyx 1717 17th St,San Francisco,Apartments,22 Units,"2,800",Withheld
515,1766 18th St,San Francisco,Retail,"2,425 SF","800 - 2,425",Withheld
516,The Pioneer Building 3180 18th St,San Francisco,Office,"39,016 SF","2,806 - 39,106",Withheld
517,3254 19th St,San Francisco,Flex,"5,050 SF","1,850",Withheld
518,25th Avenue Professiona… 161 W 25th Ave,San Mateo,Office,"11,625 SF","279 - 2,149",Withheld
519,800 Airport Blvd,Burlingame,Office,"42,839 SF","1,029 - 5,140",Withheld
520,1027 Alma St,Palo Alto,Office,"5,000 SF","1,125",Withheld
521,1100 Alma St,Menlo Park,Office,"16,500 SF","784 - 3,557",Withheld
522,643 Bair Island Rd,Redwood City,Office,"82,770 SF","1,662 - 11,688",Withheld
523,Hilp Bldg 603-615 Battery St,San Francisco,Office,"56,710 SF","1,812 - 10,263",Withheld
524,1050 Battery St,San Francisco,Office,"39,855 SF","7,002 - 32,304",Withheld
525,1485 Bayshore Blvd,San Francisco,Office,"109,856 SF","100 - 2,970",Withheld
526,Embarcadero Center 2479 E Bayshore Rd,Palo Alto,Office,"100,734 SF","456 - 51,445",Withheld
527,Building 5 380 N Bernardo Ave,Mountain View,R&D,"28,069 SF","16,000",Withheld
528,243 Brannan St,San Francisco,Retail,"2,227 SF","2,227",Withheld
529,Gallo Bldg 250 Brannan St,San Francisco,Office,"100,850 SF 16,000","- 100,850",Withheld
530,301 Brannan St,San Francisco,Office,"82,834 SF","11,504 - 82,834",Withheld
531,350 Brannan St,San Francisco,Office,"18,055 SF","1,250 - 7,010",Withheld
532,525 Brannan St,San Francisco,Office,"51,706 SF","1,554 - 3,438",Withheld
533,732 Brannan St,San Francisco,Office,"17,600 SF","8,800 - 17,600",Withheld
534,410-420 Brewster Ave,Redwood City,Office,"7,200 SF","3,100",Withheld
535,801 Brewster Ave,Redwood City,Office,"28,460 SF","1,370 - 11,306",Withheld
536,644 Broadway,San Francisco,Retail,"49,760 SF",120 - 800,Withheld
537,2198 Broadway St,Redwood City,Office,"11,129 SF","1,089 - 4,731",Withheld
538,520 Bryant St,San Francisco,Office,"10,537 SF","3,515 - 10,545",Withheld
539,530-536 Bryant St,Palo Alto,Office,"4,788 SF","1,238",Withheld
540,531 Bryant St,San Francisco,Office,"54,452 SF","1,265 - 54,452",Withheld
541,541-547 Bryant St,Palo Alto,Office,"8,368 SF","2,854",Withheld
542,635 Bryant St,Palo Alto,Office,"4,672 SF",250 - 600,Withheld
543,Stonestown Medical Dent… 557-599 Buckingham Way,San Francisco,Office,"54,319 SF","410 - 24,763",Withheld
544,Kahala Tower 851 Burlway Rd,Burlingame,Office,"64,740 SF","331 - 10,626",Withheld
545,100 Bush St,San Francisco,Office,"223,722 SF","250 - 115,322",Withheld
546,225 Bush St,San Francisco,Office,"666,021 SF","515 - 239,527",Withheld
547,530 Bush St,San Francisco,Office,"116,092 SF","2,424 - 64,929",Withheld
548,Music City Cultural Center 1353-1355 Bush St,San Francisco,Office,"28,500 SF",156,Withheld
549,1801 Bush St,San Francisco,Office,"33,900 SF","1,075",Withheld
550,100 CAL 100 California St,San Francisco,Office,"301,816 SF","805 - 84,239",Withheld
551,101 California St,San Francisco,"Office 1,250,000",SF,"2,391 - 156,051",Withheld
552,200 California St,San Francisco,Office,"28,168 SF","4,283 - 8,569",Withheld
553,230 California St,San Francisco,Office,"42,550 SF","826 - 6,334",Withheld
554,244 California St,San Francisco,Office,"39,384 SF","1,214 - 17,816",Withheld
555,345 California Center 345 California St,San Francisco,Office,"610,000 SF","65 - 181,245",Withheld
556,425 California 425 California St,San Francisco,Office,"211,344 SF","4,498 - 28,186",Withheld
557,Merchants Exchange Bldg 465 California St,San Francisco,Office,"241,106 SF","50 - 66,892",Withheld
558,Bank of America Tower 555 California St,San Francisco,"Office 1,507,000",SF,"2,565 - 227,494",Withheld
559,600 California St,San Francisco,Office,"359,883 SF","1,178 - 276,594",Withheld
560,1656 California St,San Francisco,Office,"9,279 SF","9,279",Withheld
561,2425 California St,San Francisco,Retail,"5,050 SF","460 - 3,250",Withheld
562,Landsby 2580-2590 California St,Mountain View,Apartments,632 Units,"880 - 14,123",Withheld
563,2870-2880 California St,San Francisco,Apartments,2 Units,"5,214 - 5,241",Withheld
564,321 Castro St,Mountain View,Office,"19,915 SF","4,880",Withheld
565,1142-1150 Chestnut Ln,Menlo Park,Office,"5,890 SF","1,570",Withheld
566,Bldg 5 569 Clyde Ave,Mountain View,Office,"6,428 SF",916,Withheld
567,38 Clyde St,San Francisco,Office,"1,200 SF","1,200",Withheld
568,653-655 Commercial St,San Francisco,Retail,"7,057 SF","2,160 - 7,057",Withheld
569,350 Convention Way,Redwood City,Office,"76,535 SF","3,510 - 25,853",Withheld
570,North Park - Bldg 2 650 Davis St,San Francisco,Office,"94,362 SF","6,835 - 27,352",Withheld
571,290 De Haro St,San Francisco,Office,"41,669 SF","2,229 - 20,669",Withheld
572,745 Distel Dr,Los Altos,Office,"8,676 SF",425,Withheld
573,41-43 Drumm St,San Francisco,Retail,"4,800 SF","1,600",Withheld
574,270 East Ln,Burlingame,Office,"26,539 SF","5,160 - 26,539",Withheld
575,57-65 El Camino Real,Menlo Park,Office,"6,951 SF","6,951",Withheld
576,776 El Camino Real,Redwood City,Retail,"3,258 SF","3,258",Withheld
577,1048 El Camino Real,Redwood City,Office,"7,636 SF","2,274",Withheld
578,1390 El Camino Real,San Carlos,Office,"12,444 SF","4,607",Withheld
579,1422 El Camino Real,Menlo Park,Office,"3,867 SF","3,548",Withheld
580,1550 El Camino Real,Menlo Park,Office,"23,364 SF","1,075",Withheld
581,1625 El Camino Real,Belmont,Office,"14,027 SF","680 - 3,988",Withheld
582,1699 El Camino Real,Millbrae,Retail,"9,000 SF","397 - 3,250",Withheld
583,Mid Peninsula Medical Arts… 1720 El Camino Real,Burlingame,Office,"106,018 SF","1,529 - 8,606",Withheld
584,1750 El Camino Real,Burlingame,Office,"28,000 SF","736 - 5,417",Withheld
585,1800 El Camino Real,Menlo Park,Office,"9,187 SF","4,231",Withheld
586,3225 El Camino Real,Palo Alto,Apartments,8 Units,"9,300",Withheld
587,3567 El Camino Real,Palo Alto,Retail,"4,642 SF","2,321",Withheld
588,Citi Bank 3755 El Camino Real,Santa Clara,Retail,"11,148 SF","6,088",Withheld
589,Camino Altos Plaza 4300 El Camino Real,Los Altos,Office,"25,070 SF","1,500 - 14,246",Withheld
590,4410 El Camino Real,Los Altos,Office,"37,064 SF","2,326",Withheld
591,5-25 S Ellsworth Ave,San Mateo,Retail,"20,820 SF","1,000",Withheld
592,414-480 S Ellsworth Ave,San Mateo,Retail,"4,646 SF","852 - 3,520",Withheld
593,Two Embarcadero Center Two Embarcadero Ctr,San Francisco,Office,"804,891 SF","584 - 222,415",Withheld
594,1900 Embarcadero Rd,Palo Alto,Office,"25,303 SF","1,714",Withheld
595,644 Emerson St,Palo Alto,Office,"8,600 SF","2,238",Withheld
596,701-747 W Evelyn Ave,Mountain View,Office,"38,890 SF","6,481 - 30,832",Withheld
597,250 Executive Park Blvd,San Francisco,Office,"114,089 SF","2,048 - 73,466",Withheld
598,1400 Fashion Island Blvd,San Mateo,R&D,"200,000 SF","3,332 - 171,661",Withheld
599,Century Centre I 1450 Fashion Island Blvd,San Mateo,Office,"107,804 SF","1,227 - 45,756",Withheld
600,777 Florida St,San Francisco,Office,"36,480 SF","1,214",Withheld
601,795 Folsom St,San Francisco,Office,"220,180 SF","7,167 - 162,980",Withheld
602,890-894 Folsom St,San Francisco,Office,"2,500 SF","1,750",Withheld
603,1516 Folsom St,San Francisco,Office,"8,325 SF",-,Withheld
604,1585 Folsom St,San Francisco,R&D,"30,000 SF","13,045 - 30,000",Withheld
605,655-675 Forest Ave,Palo Alto,Office,"1,440 SF","1,440",Withheld
606,181 Fremont 181 Fremont St,San Francisco,Office,"684,000 SF","400 - 92,982",Withheld
607,222 Front St,San Francisco,Office,"30,000 SF","2,500 - 5,794",Withheld
608,1001 Front St,San Francisco,Office,"119,000 SF","208 - 85,399",Withheld
609,One Front Street One Front St,San Francisco,Office,"645,281 SF","275 - 356,590",Withheld
610,650 Gateway Blvd,South San Francisco,Office,"51,400 SF","3,847 - 23,191",Withheld
611,1600-1630 Geary Blvd,San Francisco,Office,"5,735 SF","2,000 - 4,196",Withheld
612,The Grant & Geary Center 77 Geary St,San Francisco,Office,"124,646 SF","143 - 52,915",Withheld
613,Balilla Apartments 565-569 Geary St,San Francisco,Apartments,61 Units,"319 - 1,599",Withheld
614,The Presidio 1160 Gorgas Ave,San Francisco,Office,"4,463 SF","4,463",Withheld
615,21 Grant Ave,San Francisco,Office,"23,702 SF","1,403 - 19,852",Withheld
616,39-41 Grant Ave,San Francisco,Office,"9,769 SF","2,000",Withheld
617,1234 Grant Ave,San Francisco,Retail,"8,600 SF","4,500",Withheld
618,The Crossroads I 1825 S Grant St,San Mateo,Office,"160,960 SF","2,286 - 95,964",Withheld
619,Green Front 55 Green St,San Francisco,Office,"45,525 SF","9,461",Withheld
620,69 Green St,San Francisco,Office,"14,592 SF","3,648 - 14,592",Withheld
621,SF Police Credit Union 1250 Grundy Ln,San Bruno,Office,"68,000 SF","9,800",Withheld
622,459 Hamilton Ave,Palo Alto,Office,"14,676 SF","538 - 2,218",Withheld
623,Hills Plaza 2 2 Harrison St,San Francisco,Office,"213,731 SF","19,060",Withheld
624,55 Hawthorne St,San Francisco,Office,"145,186 SF","17,505 - 145,186",Withheld
625,380 Hayes St,San Francisco,Office,"20,655 SF","4,381 - 9,777",Withheld
626,675-685 High St,Palo Alto,Office,"6,625 SF","2,575",Withheld
627,Third Floor Office Space 1290 Howard Ave,Burlingame,Office,"35,000 SF","1,480",Withheld
628,301 Howard St,San Francisco,Office,"320,000 SF","4,867 - 96,886",Withheld
629,1014-1016 Howard St,San Francisco,Flex,"6,424 SF","3,212",Withheld
630,1082 Howard St,San Francisco,R&D,"3,998 SF","1,999 - 3,998",Withheld
631,758 Industrial Rd,San Carlos,Manufacturing,"13,800 SF","3,500 - 13,800",Withheld
632,Jefferson Building 626 Jefferson Ave,Redwood City,Office,"4,028 SF",230,Withheld
633,431 Jessie St,San Francisco,Office,"3,772 SF","1,886 - 3,772",Withheld
634,One Kearny 1 Kearny St,San Francisco,Office,"130,581 SF","500 - 52,839",Withheld
635,25-33 Kearny St,San Francisco,Office,"42,489 SF","1,065 - 13,009",Withheld
636,88 Kearny St,San Francisco,Office,"233,887 SF","2,834 - 50,842",Withheld
637,209-211 Kearny St,San Francisco,Office,"4,500 SF","1,500",Withheld
638,Panco Bldg 251-255 Kearny St,San Francisco,Office,"32,800 SF","3,843 - 19,215",Withheld
639,Jackson House 900 Kearny St,San Francisco,Office,"36,068 SF","4,926 - 17,276",Withheld
640,251 Laguna St,San Francisco,Office,"5,190 SF","5,190",Withheld
641,Metropolitan Hotel 216-220 Linden Ave,South San Francisco,Apartments,68 Units,"245 - 1,672",Withheld
642,1875-1877 Lombard St,San Francisco,Retail,"4,342 SF","1,400",Withheld
643,2205-2207 Lombard St,San Francisco,Retail,"2,263 SF","1,400",Withheld
644,228 Lorton Ave,Burlingame,Office,"3,900 SF","1,950 - 3,900",Withheld
645,25 Lusk St,San Francisco,Retail,"16,421 SF","3,600",Withheld
646,49 Lusk St,San Francisco,Flex,"14,000 SF","1,300 - 3,700",Withheld
647,The Crown Building 877 Mahler Rd,Burlingame,Office,"54,349 SF","851 - 4,942",Withheld
648,Gumps Bldg 30 Maiden Ln,San Francisco,Office,"96,222 SF","8,766 - 81,329",Withheld
649,45-47 Maiden Ln,San Francisco,Retail,"19,327 SF","4,080 - 13,293",Withheld
650,221 Main 221 Main St,San Francisco,Office,"389,310 SF","4,102",Withheld
651,San Mateo Science Center… 951 Mariners Island Blvd,San Mateo,Office,"124,800 SF","8,800 - 102,100",Withheld
652,Spear & Steuart Towers One Market Plz,San Francisco,"Office 1,602,806",SF,"659 - 955,436",Withheld
653,Hobart Building 582-590 Market St,San Francisco,Office,"147,252 SF","270 - 33,208",Withheld
654,595 Market Street 595 Market St,San Francisco,"Office 446,460",SF,"1,000 - 222,161",Withheld
655,Monadnock Building 685 Market St,San Francisco,Office,"222,918 SF","12,794 - 70,185",Withheld
656,Central Tower 703-705 Market St,San Francisco,Office,"116,000 SF","2,000 - 38,083",Withheld
657,720 Market St,San Francisco,Office,"47,650 SF","10 - 25,793",Withheld
658,Phelan Building 760 Market St,San Francisco,Office,"298,124 SF","155 - 141,077",Withheld
659,901 Market St,San Francisco,Office,"206,697 SF","2,072 - 180,841",Withheld
660,935-965 Market St,San Francisco,Retail,"255,765 SF","58 - 162,920",Withheld
661,944 Market St,San Francisco,Office,"35,543 SF","4,920 - 25,345",Withheld
662,Frontier Tower 995 Market St,San Francisco,Office,"90,552 SF","65 - 87,269",Withheld
663,1155 Market St,San Francisco,Office,"158,988 SF","1,620 - 109,158",Withheld
664,The Mart SF 1355 Market St,San Francisco,Office,"729,279 SF","239 - 524,726",Withheld
665,1390 Market St,San Francisco,Office,"233,911 SF","1,415 - 86,556",Withheld
666,1965-1967 Market St,San Francisco,Office,"15,300 SF","4,200 - 15,300",Withheld
667,2185-2193 Market St,San Francisco,Apartments,16 Units,"1,309",Withheld
668,2390 Market St,San Francisco,Retail,"14,114 SF","7,057 - 14,114",Withheld
669,510 S Mathilda Ave,Sunnyvale,Office,"8,883 SF","636 - 2,639",Withheld
670,707 Menlo Ave,Menlo Park,Office,"9,350 SF","1,080",Withheld
671,555 Middlefield,Redwood City,Office,"2,350 SF","2,350",Withheld
672,Palo Alto Midtown Center 2741 Middlefield Rd,Palo Alto,Office,"18,767 SF","700 - 8,253",Withheld
673,101 Mission St,San Francisco,Office,"213,705 SF","2,298 - 62,369",Withheld
674,201 Mission St,San Francisco,Office,"547,960 SF","796 - 343,425",Withheld
675,300 Mission St,San Francisco,Office,"668,197 SF","6,810 - 253,392",Withheld
676,Salesforce Tower 415 Mission St,San Francisco,"Office 1,420,682",SF,"10,315 - 174,307",Withheld
677,500 Mission St,San Francisco,Office,"22,000 SF","2,730 - 17,360",Withheld
678,555 Mission St,San Francisco,Office,"557,015 SF","3,790 - 91,209",Withheld
679,601-609 Mission St,San Francisco,Office,"49,518 SF","3,998 - 14,720",Withheld
680,1167-1169 Mission St,San Francisco,Flex,"32,000 SF","4,502 - 11,927",Withheld
681,2183-2185 Mission St,San Francisco,Retail,"7,415 SF","2,175 - 7,415",Withheld
682,Los Portales Building 2480-2482 Mission St,San Francisco,Office,"36,969 SF","445 - 17,068",Withheld
683,4430-4434 Mission St,San Francisco,Office,"7,500 SF","3,800",Withheld
684,1 Mississippi St,San Francisco,Office,"4,904 SF","1,000",Withheld
685,139 Mitchell Ave,South San Francisco,Office,"19,000 SF",841,Withheld
686,101 Montgomery St,San Francisco,Office,"42,067 SF","7,730",Withheld
687,101 Montgomery St,San Francisco,Office,"294,146 SF","10 - 65,725",Withheld
688,102 Montgomery St,San Francisco,Office,"43,000 SF","8,000 - 37,000",Withheld
689,250 Montgomery St,San Francisco,Office,"130,326 SF","134 - 45,250",Withheld
690,456 Montgomery St,San Francisco,Office,"178,014 SF","956 - 85,896",Withheld
691,555 Montgomery St,San Francisco,Office,"261,839 SF","1,233 - 50,375",Withheld
692,Transamerica Pyramid 600 Montgomery St,San Francisco,Office,"515,307 SF","3,082 - 190,361",Withheld
693,655 Montgomery St,San Francisco,Office,"273,000 SF","958 - 70,207",Withheld
694,Parc Telegraph 1603-1643 Montgomery St,San Francisco,Apartments,118 Units,"1,962",Withheld
695,5M 415 Natoma St,San Francisco,Office,"649,376 SF","808 - 621,558",Withheld
696,1040 Noel Dr,Menlo Park,Office,"7,577 SF",562,Withheld
697,2578 Noriega St,San Francisco,Retail,"3,967 SF","1,400",Withheld
698,Lakeside Medical Bldg 2645 Ocean Ave,San Francisco,Office,"29,775 SF","1,105 - 3,000",Withheld
699,2758-2764 Octavia St,San Francisco,Retail,"4,930 SF","374 - 2,558",Withheld
700,100 Oracle Pky,Redwood City,Office,"151,181 SF 15,000","- 115,000",Withheld
701,99 Osgood Pl,San Francisco,Office,"8,712 SF","1,559",Withheld
702,433-435 Pacific Ave,San Francisco,Office,"33,652 SF","3,818",Withheld
703,Hippodrome Building 545-559 Pacific Ave,San Francisco,Office,"26,501 SF","3,486 - 11,413",Withheld
704,570-574 Pacific Ave,San Francisco,Office,"17,200 SF","8,196",Withheld
705,1610-1620 Pacific Ave,San Francisco,Office,"9,044 SF","2,500",Withheld
706,205 Park Rd,Burlingame,Office,"14,000 SF","7,200",Withheld
707,Pier 17,San Francisco,R&D,"110,000 SF","13,812 - 32,230",Withheld
708,Pier 70 | Parcel B Office &… Pier 70,San Francisco,R&D,"100,000 SF 16,000","- 100,000",Withheld
709,Bldg 12 Pier 70,San Francisco,Office,"210,000 SF","1,240 - 23,202",Withheld
710,330-332 Pine St,San Francisco,Office,"51,522 SF","2,270 - 24,765",Withheld
711,Dividend Building- Brandi… 348-354 Pine St,San Francisco,Office,"21,420 SF","2,020 - 8,140",Withheld
712,1649-1655 Polk St,San Francisco,Retail,"12,936 SF","2,500",Withheld
713,One Post 1 Post St,San Francisco,Office,"488,882 SF","330 - 81,866",Withheld
714,150 Post St,San Francisco,Office,"117,435 SF","882 - 89,913",Withheld
715,251 Post St,San Francisco,Office,"37,088 SF","844 - 3,318",Withheld
716,Seiki Lee Building 1610 Post St,San Francisco,Office,"23,263 SF","300 - 1,040",Withheld
717,449 Powell St,San Francisco,Office,"34,000 SF","7,500 - 22,500",Withheld
718,200 Rhode Island St,San Francisco,Office,"101,782 SF 10,844","- 101,782",Withheld
719,Gateway at Millbrae Station 166 N Rollins Rd,Millbrae,Office,"180,000 SF","3,632 - 52,374",Withheld
720,The Presidio 563 Ruger St,San Francisco,Office,"5,640 SF","700 - 5,640",Withheld
721,275 Sacramento St,San Francisco,Office,"95,955 SF","4,872 - 80,719",Withheld
722,303 Sacramento St,San Francisco,Office,"19,516 SF","3,000",Withheld
723,353 Sacramento St,San Francisco,Office,"306,883 SF","1,955 - 196,352",Withheld
724,Midas Bldg 576 Sacramento St,San Francisco,Office,"5,981 SF","1,500 - 3,000",Withheld
725,686 Sacramento St,San Francisco,Retail,"5,192 SF","2,200",Withheld
726,608 - 626 San Antonio Rd 608-626 San Antonio Rd,Mountain View,Retail,"11,716 SF","1,950",Withheld
727,One Sansome Street 1 Sansome St,San Francisco,Office,"630,000 SF","100 - 40,897",Withheld
728,115 Sansome St 115 Sansome St,San Francisco,Office,"116,395 SF","4,119 - 59,180",Withheld
729,Kings Building 142 Sansome St,San Francisco,Office,"24,000 SF","3,530 - 10,649",Withheld
730,233-241 Sansome St,San Francisco,Office,"48,340 SF","1,410 - 16,965",Withheld
731,500 Sansome St,San Francisco,Office,"154,227 SF","1,673 - 95,429",Withheld
732,Two Transamerica 505 Sansome St,San Francisco,Office,"191,000 SF","1,487 - 100,755",Withheld
733,811-821 Sansome St,San Francisco,Office,"4,517 SF","2,200",Withheld
